Brasilino
2019-01-01,2019-06-30
eltonfernando,1
Otacilio Saraiva Maia Neto,1
Thiago Augusto,7
Total modified lines,9

2019-07-01,2019-12-31
Erick Simões,42
Jr Miranda,16
Rafael Silva,2
Vinícios SIlva,43
Total modified lines,103

2020-01-01,2020-06-30
Ladson,73
Vinícios SIlva,118
Total modified lines,191

2020-07-01,2020-12-31
Otacilio Saraiva Maia Neto,1
Total modified lines,1

2021-01-01,2021-06-30
Erick Simões,31
RodrigoDornelles,1
Steffano Pereira,159
SteffanoP,146
Total modified lines,337

"
"
"
"
dialetus-service
2019-01-01,2019-06-30
Adriano Canofre,37
dependabot[bot],45
Gabriel Kalani,161
Jefferson Moura,684
Luiz Ferreira,17
luno,5
Marcela Barella,131
Marcus Silva,703
Mateus Malaquias,273
Matheus Monte,51
Maurício Coelho,151
mvfsilva,434
Raphael Amorim,97
Ruan Kaylo,162
Thiago Guimarães,72
Welkson Ramos,151
Wellington Mitrut,18
Total modified lines,3192

2019-07-01,2019-12-31
Allan Kardec,34
b00tk1ll,39
dependabot[bot],48
dimilsu,6
djyllier,10
Eduarda dos Santos,258
Emanuel Gonçalves,37
Fabiana Ferlin,24
Francisco Lucas,20
Gildson,12
Henrique Nascimento,34
José Campillo,20
Júlio Dias,10
Kamila de fatima santos oliveira,6
Lucas Bergmann,34
Luiz dos Reis,10
Marcela Barella,11
Marcelo Matos,366
Marcus Silva,5220
Marcus Vieira,46
Murilo Arruda,12
Pedro,25
Rafael Melo,5
Renan Gustavo,77
renovate[bot],410
Ruan Gomes,20
Total modified lines,6794

2020-01-01,2020-06-30
Marcus Silva,95
Mateus Malaquias,4942
renovate[bot],144
Total modified lines,5181

2020-07-01,2020-12-31
Kauan Mocelin,2
Ramon Domingos,9
renovate[bot],60
Ricardo Bortolucci Patriani de Carvalho,5
Total modified lines,76

2021-01-01,2021-06-30
dependabot[bot],6
Marcus Silva,45
Mateus Malaquias,6414
renovate[bot],14
Total modified lines,6479

"
"
"
"
nullstack
2019-01-01,2019-06-30
Christian Mortaro,2551
Total modified lines,2551

2019-07-01,2019-12-31
Christian Mortaro,247
Total modified lines,247

2020-01-01,2020-06-30
Christian,4203
Christian Mortaro,2
Dayson Marx,0
Total modified lines,4205

2020-07-01,2020-12-31
Christian,9820
Christian Mortaro,4413
Total modified lines,14233

2021-01-01,2021-06-30
André Neidert,79
Christian,4405
Christian Mortaro,6598
Dayson,2
Dayson Marx,6817
GuiDevloper,700
Mortaro,859
Total modified lines,19460

"
"
"
"
Potigol
2019-01-01,2019-06-30
Leonardo Lucena,28
Total modified lines,28

2019-07-01,2019-12-31
Total modified lines,0

2020-01-01,2020-06-30
Cristian Souza,2
Leonardo Lucena,1144
Total modified lines,1146

2020-07-01,2020-12-31
Total modified lines,0

2021-01-01,2021-06-30
Leonardo Lucena,347
Total modified lines,347

"
"
"
"
RastreioBot
2019-01-01,2019-06-30
Gabriel R F,32
Gabriel RF,184
GabrielRF,44
Marco Rougeth,28
Total modified lines,288

2019-07-01,2019-12-31
Ademar Peixoto,747
Ana Schwendler,229
Charliiee,152
Elias Soares,147
Gabriel R F,401
Gabriel RF,1501
Juvenv,3
Marco Rougeth,2241
Rafael Gottsfritz,80
Richard Nixon,313
Sirpresident,52
Ítalo Epifânio,52
Total modified lines,5918

2020-01-01,2020-06-30
Gabriel R F,1621
Gabriel RF,552
GabrielRF,66
Marco Rougeth,363
Total modified lines,2602

2020-07-01,2020-12-31
Ademar Peixoto,562
Anderson Berg,822
Gabriel R F,1840
GabrielRF,1207
Marco Rougeth,2534
Total modified lines,6965

2021-01-01,2021-06-30
dependabot[bot],230
Gabriel R F,50
GabrielRF,717
Marco Rougeth,280
Total modified lines,1277

"
"
"
"
tainacan
2019-01-01,2019-06-30
Anna e só,295
Eduardo Humberto,7190
fabs balvedi,39549
Leo Germani,2584
leogermani,73637
Mateus Machado Luna,97059
vnmedeiros,25400
weryques,93
Total modified lines,245807

2019-07-01,2019-12-31
Leo Germani,43525
leogermani,59493
Mateus Machado Luna,161566
Vinícius Nunes,25134
vnmedeiros,24548
Total modified lines,314266

2020-01-01,2020-06-30
leogermani,654
Mateus Machado Luna,362729
mateuswetah,90877
Rafael Chaves Freitas,17
Vinícius Nunes,487
vnmedeiros,330775
Total modified lines,785539

2020-07-01,2020-12-31
Aron Ambrosiani,16574
dependabot[bot],18
leogermani,136
Mateus Machado Luna,6880
mateuswetah,83737
Rodrigo,8
Rodrigo Guimarães,1062
Vinícius Nunes Medeiros,1808
vnmedeiros,80373
Total modified lines,190596

2021-01-01,2021-06-30
dependabot[bot],227
Mateus Machado Luna,5587
mateuswetah,45281
Rodrigo,22
Rodrigo de Oliveira,17358
Rodrigo Guimarães,102
Vinícius Nunes Medeiros,17944
vnmedeiros,52449
Total modified lines,138970

"
"
"
"
